individualID,DOB,Sex,mother,father,Maturity,ID_notes,neighborhood,community,Focal,ogFocal,goneBy2018
Jolie,1/1/1985,Female,,,Independent,1/1/1988,central,central,0,0,0
Callas,12/1/1985,Female,,,Independent,,central,central,0,0,0
Garett,1/1/1989,Male,Sutherland,Brownface,Independent,,central,central,0,0,0
Carter,1/1/1990,Male,Aretha,,Independent,,central,central,0,0,0
Jackson,1/1/1991,Male,Cecilia,Rude,Independent,,central,central,0,0,0
Ingrid,6/1/1991,Female,,,Independent,7/6/1993,central,central,0,0,0
Amelia,9/20/1994,Female,,,Independent,,central,central,0,0,0
Fiona,1/1/1997,Female,,,Independent,,central,central,0,0,0
Christine,3/1/1999,Female,,,Independent,,central,central,0,0,0
Hester,10/5/2001,Female,,,Independent,,central,central,0,0,0
Baez,11/1/2001,Female,,,Independent,Wide eared ; white sclera in left eye?; black skin under eyes like Abrams ,central,central,0,0,0
Ruth,3/12/2002,Female,,,Independent,Ears like Harper; sort of mix between rosa and mystery central ; I saw her march 10 at m/15,central,central,0,0,0
Fisher,12/26/2003,Female,,,Independent,,central,central,0,0,0
Powell,1/1/2006,Male,Merrill,Berg,Independent,,central,central,0,0,0
Frida,2/1/2009,Female,Aretha,Hodge,Dependent,,central,central,0,0,0
Ava,6/10/2009,Female,Carmen,Miles,Dependent,big belly button,central,central,0,0,0
Clayton,2/1/2010,Male,Ingrid,Jackson,Dependent,,central,central,0,0,0
Susanna,5/1/2010,Female,Amelia,Mulligan,Dependent,,central,central,0,0,0
Zawinul,12/12/2010,Male,Jolie,Carter,Dependent,,central,central,0,0,0
Naidu,3/9/2011,Female,Sutherland,Bartok,Dependent,,central,central,0,0,0
Toshi,7/20/2011,Male,Callas,Jackson,Dependent,,central,central,0,0,0
Fricka,12/12/2011,Female,Sigourney,Cash,Dependent,,central,central,0,0,0
Salonen,6/1/2012,Male,Sarah,Ornette,Dependent,,central,central,0,0,0
Nadine,10/17/2013,Unknown,Christine,Cash,Dependent,,central,central,0,0,0
Varda,11/15/2014,Female,Ingrid,Peterson,Dependent,,central,central,0,0,0
Herzog,2/5/2015,Male,Bartoli,Jackson,Dependent,,central,central,0,0,0
Muhammad.Ali,6/6/2015,Male,Lita,,Dependent,,central,central,0,0,0
Kabacwezi,10/25/2016,Female,Jolie,Peterson,Dependent,,central,central,0,0,0
Amelia.infant1,10/31/2017,Unknown,Amelia,,Dependent,,central,central,0,0,0
Baez.infant1,11/7/2017,Unknown,Baez,,Dependent,,central,central,0,0,0
Hester.infant,12/3/2017,Unknown,Hester,,Dependent,,central,central,0,0,0
Ruth.infant,1/29/2018,Unknown,Ruth,,Dependent,,central,central,0,0,0
Kofi,2/23/2018,Male,Fiona,,Dependent,,central,central,0,0,0
Kano,3/6/2018,Male,Callas,,Dependent,,central,central,0,0,0
Huxley,3/30/2018,Male,Christine,,Dependent,,central,central,0,0,0
Baez.infant2,12/7/2018,Unknown,Baez,,Dependent,,central,central,0,0,0
Evans,1/1/1996,Male,Sills,Bartok,Independent,,central-east,central,1,1,0
Hicks,1/1/1997,Male,Harper,Hare,Independent,,central-east,central,1,1,0
Elton,1/1/2005,Male,Kidman,Lofty,Independent,,central-east,central,1,0,0
Gus,2/2/2007,Male,Sills,Berg,Independent,,central-east,central,1,0,0
Sills,1/1/1966,Female,,,Independent,,central-east,central,0,0,0
Emmy.Lou,11/1/2004,Female,Lucia,Rollins,Independent,,central-east,central,0,0,0
Denis,4/16/2015,Female,Sills,Jackson,Dependent,,central-east,central,0,0,0
Marlene,1/1/1950,Female,,,Independent,,central-north,central,0,0,0
Merrill,1/1/1967,Female,,,Independent,,central-north,central,0,0,0
Halle,1/1/1987,Female,Merrill,,Independent,,central-north,central,0,0,0
Taylor,6/1/1991,Female,,,Independent,,central-north,central,0,0,0
Wangari,1/1/1997,Female,,,Independent,,central-north,central,0,0,0
Margaret,7/1/2006,Female,Halle,Bartok,Independent,,central-north,central,0,0,0
Eubanks,9/2/2010,Male,Taylor,Bartok,Dependent,,central-north,central,0,0,0
PVT,12/1/2011,Male,Halle,Dolphy,Dependent,,central-north,central,0,0,0
Lucrezia,1/15/2012,Female,Wangari,Jackson,Dependent,,central-north,central,0,0,0
Biko,4/21/2016,Male,Wangari,,Dependent,,central-north,central,0,0,0
Halle.infant1,10/15/2017,Male,Halle,,Dependent,,central-north,central,0,0,0
Sarandon,1/1/1976,Female,,,Independent,,central-south,central,0,0,0
Puccini,5/1/2008,Male,Sarandon,Jackson,Independent,,central-south,central,0,0,0
Arundhathi,10/29/2013,Female,Sarandon,Southpaw,Dependent,,central-south,central,0,0,0
Brownface,1/1/1966,Male,,,Independent,,central-west,central,0,0,0
Natalie,1/1/1998,Female,Leonora,Parker,Independent,,central-west,central,0,0,0
Strayhorn,3/7/2011,Male,Natalie,Wes,Dependent,,central-west,central,0,0,0
Lumumba,11/16/2015,Male,Natalie,,Dependent,,central-west,central,0,0,0
Mitchell,1/1/1999,Male,Mulligan-Mother,Ellington,Independent,,east,central,1,1,0
Chopin,1/1/2001,Male,Violetta,Dexter,Independent,,east,central,1,0,0
Bosko,1/1/2003,Male,Julianne,Lofty,Independent,,east,central,1,0,0
Harper,1/1/1952,Female,,,Independent,,east,central,0,0,0
Kidman,1/1/1977,Female,,,Independent,,east,central,0,0,0
Julianne,1/1/1978,Female,,,Independent,,east,central,0,0,0
Violetta,1/1/1981,Female,,,Independent,White socks and gloves(?),east,central,0,0,0
Dexter,1/1/1985,Male,,Mweya,Independent,,east,central,0,0,0
Mulligan,1/1/1989,Male,Mulligan-Mother,AyeAye,Independent,,east,central,0,0,0
Cash,1/1/1993,Male,OldVioletta,,Independent,,east,central,0,0,0
Lucy,1/1/1996,Female,,,Independent,,east,central,0,0,0
Shire,1/1/1996,Female,,,Independent,,east,central,0,0,0
Atwood,7/2/1996,Female,,,Independent,3/1/1996,east,central,0,0,0
Beryl,1/1/1999,Female,,,Independent,,east,central,0,0,0
Jacki,1/1/1999,Female,,,Independent,,east,central,0,0,0
Cate,3/10/1999,Female,,,Independent,,east,central,0,0,0
Florence,3/11/1999,Female,,,Independent,,east,central,0,0,0
Khutulun,6/17/2001,Female,,,Independent,,east,central,0,0,0
Bronte,1/1/2002,Female,Aretha,Pincer,Independent,,east,central,0,0,0
Nelson,1/1/2007,Male,Anderson,Mingus,Independent,,east,central,0,0,0
Josipa,6/1/2010,Female,Julianne,Mingus,Dependent,,east,central,0,0,0
BobiWine,6/20/2010,Male,Violetta,Dexter,Dependent,,east,central,0,0,0
Amina,12/20/2011,Female,Anderson,Cash,Dependent,"curved brows, oprhan",east,central,0,0,0
Rodriguez,2/1/2013,Male,Shire,Pincer,Dependent,,east,central,0,0,0
Cedar,4/1/2013,Male,Kidman,Berg,Dependent,,east,central,0,0,0
LadyMurasaki,2/19/2016,Female,Cate,Chopin,Dependent,,east,central,0,0,0
Woodrow,10/29/2017,Male,Jackie,,Dependent,,east,central,0,0,0
Julianne.infant,10/30/2017,Unknown,Julianne,,Dependent,,east,central,0,0,0
Gunnell,1/1/2018,Male,Atwood,,Dependent,first seen 1/8/18 by Izzi,east,central,0,0,0
Lindsay,1/18/2018,Female,Beryl,,Dependent,,east,central,0,0,0
Tolkien,2/2/2018,Male,Shire,,Dependent,,east,central,0,0,0
Charlotte,2/26/2018,Female,Bronte,,Dependent,,east,central,0,0,0
Violetta.infant,3/11/2018,Unknown,Violetta,,Dependent,,east,central,0,0,0
Wayne,1/1/1996,Male,Kundry,Bartok,Independent,,west,west,1,1,0
Wes,6/1/1997,Male,Ma Rainey,Miles,Independent,,west,west,1,1,0
Buckner,1/1/2000,Male,Lucia,Hare,Independent,,west,west,1,1,0
Murray,11/15/2004,Male,Senta,Miles,Independent,,west,west,1,0,0
BillyBragg,1/1/2005,Male,Rusalka,Morton,Independent,,west,west,1,0,0
YoYo,1/1/2006,Male,Cecilia,Garrison,Independent,,west,west,1,0,0
Damien,7/1/2006,Male,Kanawa,Pincer,Independent,,west,west,1,0,0
Garbo,1/1/1956,Female,,,Independent,,west,west,0,0,0
Garrison,1/1/1977,Male,LadyDay,,Independent,,west,west,0,0,0
Senta,1/1/1982,Female,,,Independent,,west,west,0,0,0
Fleming,1/1/1986,Female,,,Independent,,west,west,0,0,0
Rollins,1/1/1986,Male,Kanawa,Pincer,Independent,,west,west,0,0,0
Richmond,1/1/1987,Male,Garbo,,Independent,,west,west,0,0,0
Rusalka,1/1/1990,Female,,,Independent,,west,west,0,0,0
Penelope,1/1/1991,Female,Kidman,,Independent,,west,west,0,0,0
Binoche,1/1/1992,Female,Julianne,,Independent,,west,west,0,0,0
Renee,1/1/1992,Female,Josta_Kanyawara,,Independent,,west,west,0,0,0
Bacall,4/1/1992,Female,,,Independent,1/1/1993,west,west,0,0,0
Dahlia,5/1/1993,Female,,,Independent,4/1/1993,west,west,0,0,0
Pizan,1/1/1994,Female,,,Independent,,west,west,0,0,0
Hutcherson,1/1/1994,Male,Garbo,Parker,Independent,,west,west,0,0,0
Carson,4/5/1994,Female,,,Independent,1/1/1996,west,west,0,0,0
Charlize,1/1/1996,Female,,,Independent,,west,west,0,0,0
Maya,1/1/1996,Female,Marlene,,Independent,Black face; no notches on ear as of May 2015,west,west,0,0,0
Geraldyn,7/1/1996,Female,,,Independent,11/1/1995,west,west,0,0,0
Sabin,5/1/1998,Female,,,Independent,,west,west,0,0,0
Sonia,10/7/1999,Female,,,Independent,,west,west,0,0,0
Anna,1/1/2001,Female,Fleming,,Independent,"black, fluffy",west,west,0,0,0
Leigh,1/1/2001,Female,Sarah,,Independent,,west,west,0,0,0
Beecher,1/1/2001,Female,,,Independent,,west,west,0,0,0
Renata,3/1/2004,Female,OldVioletta,Lofty,Independent,,west,west,0,0,0
Miliah,9/1/2004,Female,Leonora,Brubeck,Independent,,west,west,0,0,0
Tori,8/1/2005,Female,Penelope,Tatum,Independent,,west,west,0,0,0
Ellen,2/1/2006,Female,Bartoli,Dexter,Independent,,west,west,0,0,0
Williams,10/1/2007,Male,Bacall,Richmond,Independent,,west,west,0,0,0
Larson,11/1/2007,Male,Fleming,Miles,Independent,,west,west,0,0,0
Sanger,4/1/2008,Female,Dahlia,Tatum,Independent,,west,west,0,0,0
Freddie,5/1/2008,Male,Binoche,Rollins,Independent,,west,west,0,0,0
Bach,12/1/2008,Male,Kundry,Morton,Independent,,west,west,0,0,0
Holland,7/20/2010,Male,Lucia,Jackson,Dependent,,west,west,0,0,0
Harriet,11/22/2010,Female,Geraldyn,Hutcherson,Dependent,,west,west,0,0,0
Eleanor,12/1/2010,Female,Charlize,Wes,Dependent,,west,west,0,0,0
Kaija,12/5/2010,Female,Pizan,Peterson,Dependent,,west,west,0,0,0
RichBergl,12/6/2010,Male,Mansfield,Rollins,Dependent,,west,west,0,0,0
Bowie,12/8/2010,Male,Renee,Richmond,Dependent,,west,west,0,0,0
Struhsaker,1/8/2011,Male,Senta,Rahsaan,Dependent,,west,west,0,0,0
Silver,3/1/2011,Male,Maya,Garrison,Dependent,,west,west,0,0,0
Valentina,3/3/2011,Female,Quinton,Wes,Dependent,,west,west,0,0,0
EttaJames,3/9/2011,Female,Kanawa,Dexter,Dependent,,west,west,0,0,0
Francoise,8/8/2011,Female,Fiona,Mulligan,Dependent,,central-west,central,0,0,0
Joya,8/15/2011,Female,Cecilia,Bartok,Dependent,,west,west,0,0,0
Flanagan,10/1/2011,Male,Rusalka,Jackson,Dependent,,west,west,0,0,0
Kozena,3/12/2012,Female,Penelope,Rahsaan,Dependent,,west,west,0,0,0
Septina,10/1/2012,Female,Dahlia,Garrison,Dependent,,west,west,0,0,0
DiDonato,11/1/2012,Female,Fleming,Richmond,Dependent,,west,west,0,0,0
Nina,5/1/2013,Female,Sabin,Buckner,Dependent,,west,west,0,0,0
Virginia,10/7/2013,Female,Sonia,Peterson,Dependent,,west,west,0,0,0
Rosalind,12/4/2013,Female,Carson,Morton,Dependent,,west,west,0,0,0
Lombard,4/15/2014,Female,Leigh,Herbie Hancock,Dependent,,west,west,0,0,0
Tubman,10/4/2014,Female,Geraldyn,Richmond,Dependent,,west,west,0,0,0
Sufjan,4/21/2015,Male,Binoche,Garrison,Dependent,,west,west,0,0,0
Doudna,4/28/2015,Female,Anna,Buckner,Dependent,,west,west,0,0,0
Vigilant,10/26/2015,Female,Beecher,Wes,Dependent,,west,west,0,0,0
Whitman,2/1/2016,Male,Fleming,,Dependent,,west,west,0,0,0
Caceres,3/4/2016,Female,Bacall,Hutcherson,Dependent,,west,west,0,0,0
Chimamanda,3/4/2016,Female,Penelope,Wes,Dependent,,west,west,0,0,0
Junot,5/15/2016,Male,Senta,Rollins,Dependent,,west,west,0,0,0
Hermione,10/31/2016,Female,Dahlia,Wes,Dependent,,west,west,0,0,0
Jerry,5/7/2017,Male,Charlize,,Dependent,,west,west,0,0,0
Ilithyia,6/10/2017,Female,Pizan,,Dependent,,west,west,0,0,0
EO,12/10/2017,Male,Carson,,Dependent,,west,west,0,0,0
Malala,1/3/2018,Unknown,Renata,,Dependent,,west,west,0,0,0
Rusalka.infant,1/15/2018,Unknown,Rusalka,,Dependent,,west,west,0,0,0
Louis,1/27/2018,Male,Sabin,,Dependent,,west,west,0,0,0
Geraldyn.infant1,2/12/2018,Unknown,Geraldyn,,Dependent,,west,west,0,0,0
Renee.infant1,,,,,Dependent,,,west,0,0,0
Justine,,Female,,,,,west,west,,,
Nyumbani,,Female,,,,,west,west,,,
Ntwiga,,Female,,,,,west,west,,,
